 ,Area,Mean,Min,Max
1,0.417,25422.178,0,65535
2,0.417,21220.720,0,45933
3,0.417,1001.742,0,9713
4,0.417,1736.149,0,10733
5,0.417,15219.297,0,30558
6,0.417,14259.712,0,30676
7,0.417,15568.977,0,29878
8,0.417,15051.137,0,28923
9,0.417,13242.620,0,26491
10,0.417,13791.095,0,31110
11,0.417,11519.484,0,24858
12,0.417,10530.578,0,24319
13,0.417,9133.943,0,21399
14,0.417,7165.881,0,18502
15,0.417,5466.540,0,17964
16,0.417,6735.071,0,18444
17,0.417,3950.791,0,14045
18,0.417,4182.720,0,13399
19,0.417,2999.549,0,18993
20,0.417,2584.734,0,13888
21,0.417,2016.985,0,10742
22,0.417,2330.386,0,11305
23,0.417,11291.591,0,26710
24,0.417,11473.386,0,27510
25,0.417,7990.675,0,22321
26,0.417,11158.719,0,26739
27,0.417,6435.833,0,18392
28,0.417,6849.682,0,16825
29,0.417,9609.983,0,25117
30,0.417,6832.085,0,20095
31,0.417,5993.319,0,15869
32,0.417,5344.135,0,15192
33,0.417,12776.607,0,28953
34,0.417,11619.267,0,28842
35,0.417,12359.911,0,28544
36,0.417,12873.202,0,29863
