,Area,Mean,Min,Max
1,0.26,22244.675,3539,44496
2,0.26,23114.92,3998,44254
3,0.26,1901.039,0,10546
4,0.26,1287.294,0,8550
5,0.26,12656.719,4216,24624
6,0.26,16156.028,6821,32610
7,0.26,11888.554,3090,24165
8,0.26,10904.054,3453,21380
9,0.26,12257.752,0,24750
10,0.26,11547.551,3932,22458
11,0.26,10578.711,3722,22752
12,0.26,11745.059,3857,25630
13,0.26,7993.1,0,23636
14,0.26,7917.822,0,20208
15,0.26,5883.141,0,15173
16,0.26,5454.038,0,18896
17,0.26,4779.962,0,15181
18,0.26,5547.205,0,16774
19,0.26,10465.725,3111,22977
20,0.26,3366.056,0,16338
21,0.26,3217.218,0,12008
22,0.26,2586.952,0,12823
23,0.26,11472.556,3315,26430
24,0.26,13386.998,3010,27380
25,0.26,7951.16,0,19569
26,0.26,10367.119,0,26970
27,0.26,10664.078,0,23151
28,0.26,5824.043,0,22744
29,0.26,8503.873,0,20144
30,0.26,11203.207,3296,24319
31,0.26,5549.235,0,18956
32,0.26,5150.198,0,15278
33,0.26,13666.803,4089,27313
34,0.26,8363.343,0,19961
35,0.26,12979.869,0,27549
36,0.26,14722.105,0,27559
